Chromosome,Fitness,kP,kI,kD
1.0111E+94,0.951426648,0.362049182,0.088576627,0.864186599
1.00101E+94,0.926636731,0.290950362,0.755555547,0.798042901
1.00111E+95,0.951464422,0.6152699,0.962026977,0.268308119
1.111E+95,0.957409863,0.943945209,0.590869191,0.635759482
1.1101E+95,0.97604834,0.918902457,0.079707348,0.027380389
1.1111E+92,0.883487567,0.12215661,0.049636795,0.257199583
1.10111E+95,0.960194623,0.864961875,0.882556696,0.257147564
1.1101E+94,0.93754021,0.456280107,0.547909701,0.937974976
1.00001E+94,0.944666988,0.264564813,0.798081221,0.081718438
1.0011E+95,0.949156615,0.601968289,0.911978985,0.451949849
1.11001E+94,0.934331361,0.447452468,0.787424897,0.744785862
1.1011E+95,0.96288021,0.848144813,0.433473319,0.965602543
1.11001E+95,0.960548202,0.900411319,0.654677449,0.429124342
1.11111E+94,0.940638601,0.49831621,0.510035249,0.668710572
1.10101E+95,0.966426179,0.835383849,0.676632454,0.375614034
1.10111E+95,0.968806727,0.865592035,0.672102,0.177174354
